benchmark,optimizer,seed,result,time
hpdbnet/convex,tpe,6,0.176251,78.16030
hpdbnet/convex,tpe,7,0.178441,78.69194
hpdbnet/convex,tpe,8,0.177559,79.48356
hpdbnet/convex,tpe,9,0.177368,82.46841
hpdbnet/convex,tpe,10,0.178447,84.70929
hpdbnet/convex,spearmint,1,0.177296,37978.36958
hpdbnet/convex,spearmint,2,0.170775,30061.53375
hpdbnet/convex,spearmint,3,0.367999,31319.40598
hpdbnet/convex,spearmint,4,0.180946,31715.38124
hpdbnet/convex,spearmint,5,0.214997,32428.62947
hpdbnet/convex,spearmint,6,0.299101,31313.63009
hpdbnet/convex,spearmint,7,0.344813,30877.14312
hpdbnet/convex,spearmint,8,0.345917,28272.17563
hpdbnet/convex,spearmint,9,0.345917,32274.88073
hpdbnet/convex,spearmint,10,0.345917,32560.17962
hpdbnet/mrbi,mlrMBO-rf,1,0.497736,1772.46442
hpdbnet/mrbi,mlrMBO-rf,2,0.502210,1750.46022
hpdbnet/mrbi,mlrMBO-rf,3,0.489514,1749.18896
hpdbnet/mrbi,mlrMBO-rf,4,0.519822,1773.80859
hpdbnet/mrbi,mlrMBO-rf,5,0.523441,1757.89278
hpdbnet/mrbi,mlrMBO-rf,6,0.511966,1777.65694
hpdbnet/mrbi,mlrMBO-rf,7,0.514070,1774.81674
hpdbnet/mrbi,mlrMBO-rf,8,0.520555,1787.31400
hpdbnet/mrbi,mlrMBO-rf,9,0.511281,1778.60408
hpdbnet/mrbi,mlrMBO-rf,10,0.503583,1775.38119
hpdbnet/mrbi,smac,1,0.540150,112.74443
hpdbnet/mrbi,smac,2,0.527589,114.96260
hpdbnet/mrbi,smac,3,0.516209,112.86409
hpdbnet/mrbi,smac,4,0.494937,110.45580
hpdbnet/mrbi,smac,5,0.546196,108.74795
hpdbnet/mrbi,smac,6,0.525212,112.75203
hpdbnet/mrbi,smac,7,0.548428,108.27380
hpdbnet/mrbi,smac,8,0.554878,109.18572
hpdbnet/mrbi,smac,9,0.504205,111.78455
hpdbnet/mrbi,smac,10,0.555640,109.86196
hpdbnet/mrbi,tpe,1,0.501905,77.13394
hpdbnet/mrbi,tpe,2,0.493503,80.16025
hpdbnet/mrbi,tpe,3,0.508943,78.10356
hpdbnet/mrbi,tpe,4,0.501763,79.82435
hpdbnet/mrbi,tpe,5,0.483392,79.22208
hpdbnet/mrbi,tpe,6,0.518639,78.50197
hpdbnet/mrbi,tpe,7,0.491031,81.20747
hpdbnet/mrbi,tpe,8,0.492629,78.22104
hpdbnet/mrbi,tpe,9,0.491805,78.92258
hpdbnet/mrbi,tpe,10,0.495381,78.05507
hpdbnet/mrbi,spearmint,1,0.679000,29343.16451
hpdbnet/mrbi,spearmint,2,0.632141,30393.76796
hpdbnet/mrbi,spearmint,3,0.649834,33098.54557
hpdbnet/mrbi,spearmint,4,0.619300,28488.70972
hpdbnet/mrbi,spearmint,5,0.472292,30397.68901
hpdbnet/mrbi,spearmint,6,0.485442,32871.57708
hpdbnet/mrbi,spearmint,7,0.622123,27526.58812
hpdbnet/mrbi,spearmint,8,0.624260,29314.34446
hpdbnet/mrbi,spearmint,9,0.679000,31802.62681
hpdbnet/mrbi,spearmint,10,0.621678,23959.88581
hpnnet/cv_convex,mlrMBO-rf,1,0.226486,933.98016
hpnnet/cv_convex,mlrMBO-rf,2,0.224336,940.78682
hpnnet/cv_convex,mlrMBO-rf,3,0.192447,954.64779
hpnnet/cv_convex,mlrMBO-rf,4,0.225141,945.03304
hpnnet/cv_convex,mlrMBO-rf,5,0.223451,946.69320
hpnnet/cv_convex,mlrMBO-rf,6,0.221951,936.07167
hpnnet/cv_convex,mlrMBO-rf,7,0.220343,928.78220
hpnnet/cv_convex,mlrMBO-rf,8,0.226706,947.68862
hpnnet/cv_convex,mlrMBO-rf,9,0.224341,946.39760
hpnnet/cv_convex,mlrMBO-rf,10,0.227049,929.90015
hpnnet/cv_convex,smac,1,0.217720,256.38020
hpnnet/cv_convex,smac,2,0.178674,256.58943
hpnnet/cv_convex,smac,3,0.217580,259.25374
hpnnet/cv_convex,smac,4,0.215560,260.79639
hpnnet/cv_convex,smac,5,0.219055,261.61935
hpnnet/cv_convex,smac,6,0.217396,256.13532
hpnnet/cv_convex,smac,7,0.214250,259.30339
hpnnet/cv_convex,smac,8,0.214236,256.11458
hpnnet/cv_convex,smac,9,0.213915,246.39894
hpnnet/cv_convex,smac,10,0.214548,239.58566
hpnnet/cv_convex,tpe,1,0.221148,22.55834
hpnnet/cv_convex,tpe,2,0.224351,22.84443
hpnnet/cv_convex,tpe,3,0.221062,22.30319
hpnnet/cv_convex,tpe,4,0.200254,22.79794
hpnnet/cv_convex,tpe,5,0.192250,22.26584
hpnnet/cv_convex,tpe,6,0.223638,22.44628
hpnnet/cv_convex,tpe,7,0.221012,22.05555
hpnnet/cv_convex,tpe,8,0.223070,22.18780
hpnnet/cv_convex,tpe,9,0.220458,22.85406
hpnnet/cv_convex,tpe,10,0.223117,21.87455
hpnnet/cv_convex,spearmint,1,0.216458,6625.81551
hpnnet/cv_convex,spearmint,2,0.215867,7046.56202
hpnnet/cv_convex,spearmint,3,0.215949,6514.36644
hpnnet/cv_convex,spearmint,4,0.227795,1208.69280
hpnnet/cv_convex,spearmint,5,0.219278,6637.13364
